127.0.0.1 - - [25/Aug/2017:08:56:35 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:12 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:12 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:12 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:12 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:13 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:19 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:20 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:21 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:21 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:21 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:21 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:22 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:22 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:23 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:26 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:26 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:26 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:26 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:57:26 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:58:41 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:58:41 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:08:58:41 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:26 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:26 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:27 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:35 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:35 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:35 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:35 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:00:35 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1616
